iter	R2	RMSE
0	0.1761540154	2820.214453
1	0.2475190889	2695.298458
2	0.2797372151	2636.966468
3	0.349413255	2506.176912
4	0.377359423	2451.759288
5	0.3893713018	2427.994647
6	0.4784166882	2243.990237
7	0.4915893284	2215.472931
8	0.4963969532	2204.973091
9	0.5099170957	2175.173461
10	0.5382094948	2111.453973
11	0.5512066301	2081.528375
12	0.5680291538	2042.143883
13	0.5768259414	2021.243506
14	0.5882913902	1993.673765
15	0.5967806027	1973.012457
16	0.6035734884	1956.322567
17	0.6059574459	1950.431409
18	0.6086630939	1943.723668
19	0.6177097936	1921.125362
20	0.6261803601	1899.722545
21	0.6286850748	1893.347465
22	0.6314940913	1886.172233
23	0.6354935844	1875.908743
24	0.6366000508	1873.059401
25	0.6382153615	1868.891895
26	0.6423075802	1858.29213
27	0.6441134079	1853.595355
28	0.6507649097	1836.191854
29	0.6654854611	1797.076721
30	0.6673592833	1792.036385
31	0.6721126107	1779.186507
32	0.6749966844	1771.344426
33	0.6774526865	1764.63884
34	0.6807374651	1755.630423
35	0.6867960464	1738.892511
36	0.6894999479	1731.370279
37	0.692816172	1722.099709
38	0.6942884726	1717.967828
39	0.6958336759	1713.620638
40	0.6988375949	1705.137861
