iter	Passed	Remaining
0	1255	1253883
1	2400	1197903
2	3202	1064291
3	4189	1043260
4	5107	1016335
5	6112	1012712
6	6979	990035
7	8038	996721
8	8968	987487
9	9983	988370
10	10923	982095
11	11628	957434
12	12590	955946
13	13474	948968
14	14390	944992
15	15647	962295
16	16473	952565
17	17422	950471
18	18195	939478
19	18922	927223
20	19666	916822
21	20619	916615
22	21348	906850
23	22271	905698
24	23016	897624
25	23858	893758
26	24636	887823
27	25596	888568
28	26306	880816
29	27205	879633
30	27991	874956
31	28841	872449
32	29863	875103
33	30733	873185
34	31543	869686
35	32294	864768
36	33173	863399
37	33993	860576
38	34931	860738
39	35894	861468
40	36950	864289
41	38032	867499
42	38854	864740
43	39817	865122
44	40823	866356
45	41777	866419
46	42743	866682
47	43616	865066
48	44557	864779
49	45582	866073
50	46515	865545
51	47349	863225
52	48369	864254
53	49385	865157
54	50416	866242
55	51410	866641
56	52462	867934
57	53424	867683
58	54600	870833
59	55620	871383
60	56670	872353
61	57631	871902
62	58645	872231
63	59673	872731
64	60632	872179
65	61700	873148
66	62922	876221
67	63939	876349
68	65176	879417
69	66312	881003
70	67414	882080
71	68608	884293
72	70063	889706
73	71604	896026
74	73119	901813
75	74366	904136
76	75623	906502
77	77101	911374
78	78275	912559
79	79608	915493
80	81179	921034
81	82331	921711
82	83716	924913
83	85068	927654
84	86510	931258
85	87943	934655
86	89185	935938
87	90527	938196
88	91853	940209
89	93209	942446
90	94489	943860
91	96091	948380
92	97427	950176
93	98802	952288
94	99890	951588
95	101400	954854
96	102791	956916
97	104030	957504
98	105246	957848
99	106798	961183
100	108165	962776
101	109376	962938
102	110345	960973
103	111725	962556
104	112891	962263
105	114357	964489
106	115694	965563
107	116828	964920
108	118102	965403
109	119353	965674
110	120425	964489
111	121567	963860
112	122649	962742
113	123662	961095
114	124627	959088
115	125641	957471
116	126422	954112
117	127295	951482
118	128178	948952
119	129039	946287
120	129909	943722
121	130740	940900
122	131450	937253
123	132261	934364
124	133096	931676
125	133983	929374
126	134932	927524
127	135798	925124
128	136654	922680
129	137324	919016
130	138238	917014
131	139051	914370
132	140125	913451
133	141089	911815
134	142013	909937
135	142828	907383
136	143657	904937
137	144696	903826
138	145447	900937
139	146367	899113
140	147277	897240
141	148092	894812
142	148760	891523
143	149848	890768
144	150877	889657
145	151933	888704
146	152896	887214
147	153623	884375
148	154594	882951
149	155408	880647
150	156790	881558
151	158265	882955
152	159523	883112
153	160911	883967
154	162071	883552
155	163519	884682
156	164710	884401
157	165986	884559
158	167411	885488
159	168602	885160
160	170189	886888
161	171636	887848
162	172879	887731
163	174135	887668
164	175468	887976
165	176841	888469
166	178115	888446
167	179319	888058
168	180544	887767
169	181527	886280
170	182932	886848
171	184126	886377
172	185494	886728
173	186634	885976
174	187791	885300
175	189126	885455
176	190326	884964
177	191460	884158
178	192778	884195
179	194142	884426
180	195393	884127
181	196768	884377
182	198050	884191
183	199817	886148
184	201136	886087
185	202284	885264
186	203593	885141
187	204757	884379
188	205921	883608
189	207286	883694
190	208447	882899
191	209465	881498
192	210384	879689
193	211269	877748
194	212102	875602
195	213247	874749
196	213968	872166
197	214934	870592
198	215946	869212
199	216696	866784
200	217406	864216
201	218244	862173
202	219153	860420
203	220239	859366
204	221190	857789
205	222008	855703
206	222984	854234
207	223743	851945
208	224496	849648
209	225435	848067
210	226236	845974
211	226924	843472
212	227821	841762
213	228775	840267
214	229678	838592
215	230535	836757
216	231401	834966
217	232262	833161
218	233305	832015
219	234165	830224
220	235159	828910
221	236077	827334
222	236976	825697
223	237888	824114
224	238846	822695
225	239553	820419
226	240463	818846
227	241472	817616
228	242332	815886
229	243183	814137
230	244054	812459
231	244939	810834
232	245651	808646
233	246514	806966
234	247327	805130
235	248262	803696
236	249752	804054
237	251366	804794
238	252738	804744
239	254004	804348
240	255248	803873
241	256794	804340
242	258440	805100
243	259887	805224
244	261547	805994
245	263038	806224
246	264693	806938
247	265875	806204
248	267520	806858
249	268803	806410
250	270137	806108
251	271487	805844
252	272809	805488
253	274476	806138
254	275633	805282
255	277189	805582
256	278443	804995
257	279712	804444
258	281101	804232
259	282508	804062
260	283587	802954
261	284951	802650
262	285796	800880
263	286773	799488
264	287777	798174
265	288616	796408
266	289556	794924
267	290266	792818
268	291210	791355
269	292037	789582
270	292868	787827
271	293906	786631
272	294912	785353
273	295802	783767
274	296667	782124
275	297651	780795
276	298602	779385
277	299492	777818
278	300532	776643
279	301258	774665
280	302073	772920
281	302844	771072
282	303822	769756
283	304619	767984
284	305465	766344
285	306338	764774
286	307006	762703
287	307790	760925
288	308488	758946
289	309480	757693
290	310439	756363
291	311314	754831
292	312170	753258
293	312999	751625
294	313783	749889
295	314716	748515
296	315654	747156
297	316359	745249
298	317308	743924
299	318072	742168
300	318929	740637
301	319904	739382
302	320837	738032
303	321796	736743
