iter	Passed	Remaining
0	92	9216707
1	93	4696431
2	95	3179920
3	100	2513819
4	104	2096333
5	108	1809146
6	112	1606530
7	116	1458589
8	121	1344378
9	125	1250446
10	128	1170200
11	132	1103185
12	135	1045638
13	139	997000
14	143	958831
15	147	923196
16	151	891272
17	155	862597
18	159	837438
19	163	817748
20	167	799038
21	172	783838
22	176	769317
23	181	755471
24	185	740716
25	189	727267
26	192	714285
27	196	702053
28	200	691109
29	205	683654
30	209	675105
31	213	667280
32	217	659500
33	222	653382
34	226	646488
35	230	638881
36	233	631955
37	238	626309
38	242	620661
39	246	614888
40	249	608995
41	253	603267
42	257	599414
43	262	595632
44	266	591775
45	270	587139
46	274	582793
47	278	579410
48	282	577106
49	286	573586
50	290	570055
51	294	566446
52	299	563887
53	303	561103
54	307	558023
55	311	556337
56	316	555591
57	321	553398
58	325	550642
59	328	547776
60	332	544775
61	336	542501
62	340	540785
63	345	539118
64	349	536616
65	352	534156
66	356	532307
67	360	530270
68	364	528231
69	368	526581
70	372	524742
71	377	523562
72	381	521933
73	385	520116
74	389	518335
75	392	516487
76	396	514753
77	401	513875
78	405	513200
79	410	512360
80	414	511314
81	418	510455
82	423	509546
83	427	508004
84	430	506398
85	435	505706
86	439	504557
87	443	503186
88	447	502070
89	452	502259
90	457	501801
91	461	500906
92	465	499692
93	468	498393
94	472	497120
95	477	496454
96	481	495597
97	485	494567
98	489	493660
99	493	492822
100	497	491757
101	501	490731
102	505	490280
103	509	489573
104	513	488893
105	517	487958
106	521	487016
107	525	486115
108	529	485111
109	533	484193
110	537	483591
111	541	482876
112	545	481862
113	548	481007
114	553	480431
115	557	479745
116	560	478780
117	564	477780
118	568	476852
119	572	476624
120	576	475980
121	580	475179
122	584	474338
123	587	473582
124	592	473699
125	597	473832
126	602	473579
127	606	472974
128	610	472415
129	614	472038
130	618	471526
131	622	471022
132	626	470393
133	630	470101
134	634	469460
135	638	468783
136	642	468142
137	646	467717
138	650	467542
139	655	467280
140	659	466763
141	662	466032
142	666	465522
143	671	465416
144	675	465169
145	679	464868
146	683	464384
147	687	463917
148	691	463681
149	696	463391
150	700	463073
151	704	462751
152	708	462654
153	712	462159
154	716	461709
155	720	461180
156	724	461042
157	729	461219
158	734	461097
159	738	460784
160	742	460330
161	746	460131
162	751	460086
163	754	459587
164	758	459002
165	762	458445
166	766	458137
167	770	457874
168	774	457449
169	778	457025
170	782	456597
171	785	456152
172	790	455983
173	794	455745
174	798	455611
175	802	455287
176	806	455055
177	811	454863
178	815	454505
179	818	454061
180	822	453604
181	826	453441
182	830	453206
183	834	452752
184	838	452270
185	842	451928
186	846	451858
187	850	451785
188	855	451568
189	858	451220
190	862	450888
191	866	450629
192	870	450405
193	874	450089
194	878	449762
195	882	449461
196	887	449464
197	891	449342
198	895	449123
199	900	449159
200	904	449125
201	909	449153
202	913	449184
203	917	449006
204	921	448716
205	925	448511
206	929	448300
207	933	447960
208	937	447566
209	941	447356
210	946	447403
211	949	447133
212	953	446708
213	957	446380
214	961	446279
215	965	446214
216	969	445980
217	973	445683
218	977	445280
219	981	444950
220	985	444773
221	989	444718
222	993	444727
223	997	444510
224	1002	444341
225	1006	444293
226	1010	443967
227	1013	443643
228	1017	443440
229	1021	443305
230	1025	443059
231	1029	442777
232	1033	442524
233	1037	442340
234	1041	442254
235	1046	442524
236	1051	442540
237	1055	442492
238	1059	442417
239	1064	442414
240	1068	442297
241	1072	442161
242	1076	442125
243	1081	442099
244	1085	441945
245	1089	441785
246	1093	441687
247	1097	441587
248	1102	441565
249	1106	441415
250	1110	441191
251	1113	440933
252	1117	440759
253	1122	440742
254	1126	440680
255	1130	440600
256	1134	440317
257	1138	440072
258	1142	440054
259	1146	439940
260	1150	439737
261	1154	439539
262	1158	439488
263	1162	439337
264	1167	439220
265	1170	439042
266	1175	439017
267	1179	439072
268	1184	439142
269	1188	439167
270	1193	439172
271	1197	438987
272	1201	438905
