iter	Passed	Remaining
0	160	1609043
1	171	858844
2	184	615546
3	200	500589
4	213	427079
5	224	374202
6	238	340330
7	245	306262
8	258	287211
9	271	271510
10	284	258331
11	296	247035
12	309	237914
13	322	229752
14	335	223283
15	348	217336
16	360	211729
17	373	207046
18	386	203189
19	400	199718
20	413	196408
21	426	193425
22	439	190463
23	452	188052
24	465	185723
25	479	184090
26	491	181659
27	501	178746
28	514	176838
29	527	175163
30	539	173581
31	552	172187
32	566	171178
33	581	170311
34	596	169941
35	613	169894
36	629	169605
37	646	169412
38	661	168986
39	677	168756
40	695	168877
41	711	168679
42	728	168621
43	743	168225
44	758	167862
45	773	167392
46	788	166904
47	803	166562
48	817	165993
49	831	165456
50	846	165045
51	861	164853
52	878	164945
53	900	165834
54	917	165830
55	932	165639
56	948	165437
57	966	165648
58	983	165739
59	1000	165682
60	1014	165346
61	1030	165110
62	1045	164835
63	1060	164596
64	1076	164518
65	1091	164234
66	1105	163927
67	1121	163822
68	1136	163546
69	1151	163330
70	1165	163047
71	1179	162683
72	1194	162461
73	1208	162098
74	1223	161966
75	1237	161610
76	1254	161679
77	1270	161601
78	1285	161406
79	1300	161226
80	1315	161059
81	1329	160799
82	1345	160778
83	1361	160692
84	1377	160698
85	1397	161055
86	1417	161487
87	1434	161618
88	1459	162508
89	1476	162556
90	1491	162454
91	1507	162309
92	1522	162229
